"pairs","F.Model","R2","p.value","p.adjusted"
"26","FS2_feces_0_control vs FS2_feces_0_RPS",0.597850972290448,0.0224774164241046,0.908,1
"42","FS2_feces_12_control vs FS2_feces_12_RPS",0.974797390372637,0.0375285849480365,0.449,1
"57","FS2_feces_15_control vs FS2_feces_15_RPS",1.94773041548254,0.0722780874475238,0.021,1
"71","FS2_feces_19_control vs FS2_feces_19_RPS",2.6072282078473,0.105953754150004,0.004,0.612
"84","FS2_feces_21_control vs FS2_feces_21_RPS",5.25790132424452,0.179708765368197,0.001,0.153
"117","FS2_ileum_21_control vs FS2_ileum_21_RPS",2.67778045404681,0.308578958436089,0.032,1
"9","FS2_colon_21_control vs FS2_colon_21_RPS",1.44170603985682,0.107256179802023,0.142,1
"107","FS2_cecum_21_control vs FS2_cecum_21_RPS",2.64312011376097,0.180502522223872,0.005,0.765
"96","FS2_cec_cont_RNA_21_control vs FS2_cec_cont_RNA_21_RPS",1.86054906923052,0.134233431874702,0.062,1
